term,fico_range_low,loan_to_income,acc_open_past_24mths,dti,avg_cur_bal,total_bc_limit,mo_sin_rcnt_tl,mths_since_recent_inq,mort_acc,num_actv_rev_tl,loan_amnt,annual_inc,mths_since_recent_bc,mo_sin_old_rev_tl_op,home_ownership_MORTGAGE
60.0,705.0,0.23529411764705882,1.0,9.17,2724.0,36400.0,9.0,0.0,0.0,8.0,24000.0,102000.0,45.0,170.0,0
36.0,675.0,0.35,4.0,27.28,1939.0,10900.0,3.0,18.0,0.0,8.0,10500.0,30000.0,24.0,100.0,0
36.0,705.0,0.29835390946502055,4.0,19.41,25944.0,19600.0,12.0,12.0,4.0,6.0,23200.0,77760.0,21.0,458.0,1
36.0,660.0,0.06397058823529411,3.0,11.26,3519.0,6900.0,2.0,1.0,3.0,4.0,2175.0,34000.0,5.0,191.0,1
36.0,660.0,0.18951612903225806,4.0,26.75,2679.0,8200.0,7.0,13.0,0.0,6.0,5875.0,31000.0,13.0,196.0,0
36.0,755.0,0.04,3.0,5.45,2715.0,25000.0,8.0,11.0,0.0,2.0,2200.0,55000.0,13.0,113.0,0
60.0,755.0,0.33035714285714285,2.0,18.58,8028.0,10100.0,12.0,4.0,1.0,4.0,9250.0,28000.0,53.0,220.0,1
36.0,675.0,0.08625,6.0,19.2,3237.0,1800.0,2.0,1.0,0.0,5.0,3450.0,40000.0,12.0,127.0,0
36.0,700.0,0.30434782608695654,2.0,20.91,7383.0,30500.0,10.0,10.0,0.0,7.0,35000.0,115000.0,25.0,136.0,0
36.0,725.0,0.08333333333333333,2.0,20.05,4615.0,45000.0,6.0,10.0,0.0,3.0,5000.0,60000.0,9.0,111.0,0
60.0,700.0,0.4,4.0,11.25,12907.0,15800.0,14.0,3.0,3.0,6.0,18000.0,45000.0,20.0,113.0,1
60.0,675.0,0.18285714285714286,7.0,10.15,17507.0,16500.0,4.0,4.0,9.0,10.0,25600.0,140000.0,7.0,119.0,1
36.0,725.0,0.23333333333333334,14.0,19.06,2936.0,67200.0,10.0,1.0,2.0,11.0,35000.0,150000.0,12.0,175.0,1
60.0,670.0,0.35454545454545455,4.0,15.36,7676.0,12000.0,4.0,,0.0,3.0,19500.0,55000.0,11.0,140.0,0
36.0,695.0,0.219,2.0,20.78,3299.0,3300.0,7.0,9.0,0.0,7.0,16425.0,75000.0,77.0,173.0,0
60.0,660.0,0.2403846153846154,1.0,18.01,8435.0,26500.0,14.0,4.0,5.0,10.0,25000.0,104000.0,25.0,157.0,0
60.0,720.0,0.48,,11.47,,,,,,,12000.0,25000.0,,,0
36.0,705.0,0.1694915254237288,6.0,13.12,9455.0,32300.0,3.0,6.0,1.0,10.0,10000.0,59000.0,3.0,227.0,0
36.0,670.0,0.1125,6.0,8.52,1229.0,7700.0,6.0,7.0,1.0,8.0,9000.0,80000.0,7.0,106.0,1
36.0,675.0,0.4015151515151515,4.0,24.76,22765.0,24100.0,7.0,4.0,6.0,8.0,26500.0,66000.0,14.0,136.0,1
36.0,775.0,0.08,7.0,0.62,167.0,45100.0,9.0,20.0,0.0,2.0,8000.0,100000.0,9.0,74.0,0
36.0,680.0,0.028125,9.0,4.1,6022.0,3200.0,2.0,2.0,0.0,3.0,9000.0,320000.0,7.0,62.0,0
36.0,675.0,0.208955223880597,3.0,18.25,7492.0,13300.0,13.0,19.0,4.0,4.0,14000.0,67000.0,13.0,141.0,0
60.0,665.0,0.23076923076923078,6.0,20.46,2956.0,8700.0,13.0,19.0,0.0,7.0,15000.0,65000.0,13.0,39.0,0
36.0,700.0,0.43956043956043955,1.0,12.29,3768.0,18000.0,14.0,1.0,0.0,4.0,24000.0,54600.0,14.0,160.0,0
36.0,660.0,0.20809248554913296,4.0,19.35,12286.0,8100.0,4.0,4.0,0.0,9.0,18000.0,86500.0,4.0,132.0,1
36.0,660.0,0.23529411764705882,3.0,17.61,22571.0,2400.0,5.0,5.0,1.0,2.0,20000.0,85000.0,80.0,128.0,1
36.0,765.0,0.14,2.0,4.25,36546.0,54476.0,9.0,5.0,5.0,3.0,21000.0,150000.0,10.0,183.0,0
36.0,665.0,0.16923076923076924,6.0,20.21,2651.0,8500.0,8.0,2.0,0.0,5.0,11000.0,65000.0,9.0,111.0,0
36.0,730.0,0.3,4.0,22.89,2032.0,56700.0,14.0,23.0,2.0,5.0,18000.0,60000.0,23.0,172.0,0
36.0,665.0,0.04406779661016949,9.0,19.16,21958.0,3500.0,8.0,1.0,3.0,5.0,5200.0,118000.0,28.0,247.0,1
36.0,770.0,0.26666666666666666,2.0,25.18,3514.0,52400.0,6.0,22.0,0.0,5.0,20000.0,75000.0,6.0,147.0,0
60.0,670.0,0.477326968973747,13.0,21.15,3530.0,7000.0,4.0,4.0,0.0,4.0,24000.0,50280.0,17.0,66.0,0
36.0,685.0,0.23529411764705882,3.0,25.41,1367.0,16400.0,14.0,12.0,0.0,15.0,16000.0,68000.0,14.0,202.0,0
60.0,755.0,0.24210526315789474,5.0,31.27,10523.0,76800.0,0.0,0.0,2.0,10.0,11500.0,47500.0,5.0,238.0,1
36.0,775.0,0.29411764705882354,6.0,22.4,37136.0,4000.0,10.0,,4.0,3.0,15000.0,51000.0,14.0,193.0,1
36.0,665.0,0.22105263157894736,4.0,26.1,2335.0,5700.0,8.0,13.0,2.0,2.0,8400.0,38000.0,62.0,193.0,0
36.0,720.0,0.22842105263157894,0.0,9.99,8356.0,18500.0,33.0,,0.0,3.0,21700.0,95000.0,117.0,205.0,0
60.0,685.0,0.41847826086956524,4.0,20.52,4221.0,16900.0,16.0,4.0,0.0,4.0,19250.0,46000.0,16.0,142.0,0
36.0,660.0,0.046511627906976744,8.0,17.74,14618.0,17900.0,5.0,7.0,3.0,9.0,5000.0,107500.0,7.0,209.0,0
60.0,675.0,0.3,5.0,14.79,11230.0,10700.0,0.0,0.0,2.0,6.0,15000.0,50000.0,32.0,241.0,1
60.0,675.0,0.23883928571428573,7.0,25.44,4012.0,12500.0,8.0,6.0,0.0,9.0,13375.0,56000.0,17.0,95.0,0
36.0,670.0,0.2,6.0,34.57,21985.0,4000.0,1.0,1.0,1.0,5.0,15000.0,75000.0,9.0,162.0,1
36.0,745.0,0.3333333333333333,,2.6,,,,,,,20000.0,60000.0,,,1
36.0,670.0,0.23076923076923078,5.0,19.33,7012.0,11900.0,1.0,8.0,0.0,2.0,15000.0,65000.0,1.0,233.0,0
36.0,670.0,0.16,3.0,24.24,2696.0,7400.0,3.0,19.0,0.0,7.0,6400.0,40000.0,20.0,97.0,0
36.0,705.0,0.32941176470588235,2.0,26.15,11461.0,8500.0,5.0,,5.0,8.0,28000.0,85000.0,5.0,236.0,1
60.0,665.0,0.3508771929824561,1.0,24.91,5231.0,4500.0,19.0,17.0,0.0,7.0,20000.0,57000.0,73.0,319.0,0
60.0,675.0,0.24,7.0,17.46,15615.0,2900.0,7.0,12.0,2.0,4.0,14400.0,60000.0,7.0,164.0,1
36.0,685.0,0.06666666666666667,6.0,10.73,15139.0,9400.0,6.0,1.0,7.0,6.0,10000.0,150000.0,9.0,156.0,1
60.0,705.0,0.2857142857142857,2.0,8.61,31164.0,12700.0,4.0,4.0,6.0,8.0,20000.0,70000.0,4.0,162.0,1
36.0,685.0,0.15150324890300426,7.0,18.65,9491.0,29500.0,9.0,2.0,2.0,5.0,13500.0,89107.0,9.0,379.0,1
60.0,705.0,0.1590909090909091,3.0,15.56,75347.0,6600.0,3.0,3.0,1.0,0.0,35000.0,220000.0,15.0,36.0,1
36.0,695.0,0.12222222222222222,3.0,20.59,3951.0,16600.0,13.0,0.0,1.0,3.0,5500.0,45000.0,13.0,136.0,0
36.0,660.0,0.175,0.0,13.86,10515.0,21000.0,88.0,1.0,7.0,4.0,35000.0,200000.0,243.0,280.0,1
36.0,670.0,0.14,5.0,9.72,2251.0,77900.0,0.0,0.0,0.0,11.0,28000.0,200000.0,14.0,159.0,1
36.0,690.0,0.11955128205128206,6.0,16.92,8493.0,400.0,3.0,0.0,0.0,3.0,9325.0,78000.0,16.0,96.0,0
36.0,660.0,0.08,5.0,22.28,49859.0,3000.0,3.0,1.0,2.0,3.0,8000.0,100000.0,25.0,112.0,1
36.0,720.0,0.3125,1.0,8.2,5398.0,85400.0,4.0,4.0,0.0,5.0,25000.0,80000.0,4.0,191.0,0
36.0,695.0,0.1891891891891892,5.0,3.55,30510.0,5500.0,12.0,13.0,7.0,6.0,14000.0,74000.0,21.0,190.0,1
60.0,685.0,0.13023255813953488,3.0,24.21,36214.0,24000.0,2.0,8.0,0.0,4.0,11200.0,86000.0,17.0,66.0,0
36.0,685.0,0.05142857142857143,5.0,12.45,2565.0,21500.0,2.0,13.0,0.0,7.0,3600.0,70000.0,2.0,147.0,0
60.0,665.0,0.25,4.0,24.24,3377.0,8100.0,4.0,2.0,5.0,6.0,15000.0,60000.0,23.0,176.0,1
36.0,725.0,0.246,3.0,30.77,6066.0,40600.0,2.0,,1.0,7.0,12300.0,50000.0,9.0,165.0,1
36.0,730.0,0.3217391304347826,0.0,11.48,4848.0,8500.0,84.0,,0.0,2.0,7400.0,23000.0,84.0,304.0,1
36.0,660.0,0.03125,5.0,10.2,34293.0,7300.0,5.0,5.0,2.0,4.0,1500.0,48000.0,18.0,225.0,1
36.0,680.0,0.2,2.0,21.33,3345.0,11700.0,11.0,21.0,0.0,4.0,8000.0,40000.0,11.0,212.0,0
36.0,705.0,0.2634375,6.0,36.08,13370.0,15100.0,6.0,3.0,4.0,9.0,21075.0,80000.0,10.0,246.0,1
36.0,670.0,0.11428571428571428,3.0,21.71,5205.0,600.0,7.0,9.0,1.0,2.0,4000.0,35000.0,70.0,289.0,0
36.0,700.0,0.0891891891891892,4.0,13.54,5642.0,13000.0,10.0,7.0,0.0,3.0,6600.0,74000.0,10.0,184.0,0
60.0,725.0,0.25,0.0,19.06,4619.0,30400.0,34.0,,2.0,2.0,11000.0,44000.0,65.0,213.0,1
36.0,685.0,0.3709375,1.0,20.33,30343.0,23500.0,23.0,21.0,5.0,8.0,29675.0,80000.0,53.0,194.0,1
36.0,670.0,0.16279069767441862,13.0,30.95,2842.0,8900.0,1.0,1.0,0.0,7.0,7000.0,43000.0,7.0,25.0,0
60.0,690.0,0.42105263157894735,2.0,15.01,1735.0,15600.0,14.0,15.0,1.0,7.0,16000.0,38000.0,14.0,220.0,0
60.0,670.0,0.21333333333333335,4.0,9.86,27152.0,12500.0,1.0,2.0,2.0,2.0,16000.0,75000.0,28.0,105.0,1
36.0,685.0,0.17898235745333674,4.0,26.42,3128.0,4900.0,0.0,1.0,2.0,5.0,7000.0,39110.0,5.0,162.0,0
60.0,670.0,0.2318181818181818,8.0,30.83,4373.0,32300.0,3.0,3.0,0.0,6.0,12750.0,55000.0,11.0,419.0,0
36.0,700.0,0.08,0.0,14.28,2196.0,5600.0,27.0,9.0,0.0,4.0,2400.0,30000.0,27.0,280.0,0
36.0,685.0,0.053418803418803416,3.0,12.24,6279.0,13150.0,9.0,9.0,0.0,3.0,5000.0,93600.0,17.0,45.0,0
36.0,730.0,0.13059701492537312,1.0,3.83,78052.0,16000.0,21.0,2.0,6.0,4.0,35000.0,268000.0,64.0,306.0,1
36.0,680.0,0.361875,8.0,26.4,1207.0,14600.0,6.0,10.0,0.0,10.0,14475.0,40000.0,7.0,33.0,0
36.0,670.0,0.1907356948228883,11.0,20.27,14499.0,4850.0,4.0,4.0,4.0,12.0,14000.0,73400.0,21.0,74.0,1
36.0,690.0,0.2916666666666667,12.0,20.65,11458.0,66000.0,3.0,5.0,1.0,13.0,28000.0,96000.0,3.0,161.0,1
36.0,665.0,0.14814814814814814,17.0,2.53,699.0,25000.0,6.0,7.0,3.0,4.0,20000.0,135000.0,9.0,309.0,0
36.0,675.0,0.13043478260869565,4.0,20.75,8216.0,17400.0,1.0,19.0,2.0,7.0,12000.0,92000.0,19.0,106.0,0
60.0,700.0,0.21737240239979133,5.0,7.27,24445.0,52500.0,4.0,13.0,5.0,3.0,15000.0,69006.0,4.0,144.0,1
60.0,685.0,0.35,1.0,23.85,8959.0,10600.0,3.0,16.0,1.0,5.0,14000.0,40000.0,3.0,58.0,1
36.0,660.0,0.24175824175824176,11.0,18.1,7964.0,7900.0,1.0,7.0,2.0,6.0,11000.0,45500.0,20.0,102.0,1
36.0,675.0,0.09666666666666666,9.0,14.48,4268.0,2200.0,8.0,1.0,0.0,3.0,5800.0,60000.0,8.0,101.0,1
36.0,750.0,0.05555555555555555,3.0,3.28,5481.0,45100.0,3.0,14.0,0.0,3.0,15000.0,270000.0,12.0,208.0,0
36.0,725.0,0.09124087591240876,8.0,34.37,25530.0,54900.0,3.0,3.0,2.0,5.0,12500.0,137000.0,3.0,383.0,1
36.0,665.0,0.16,4.0,19.86,16663.0,18400.0,6.0,10.0,2.0,10.0,12000.0,75000.0,11.0,169.0,1
36.0,670.0,0.44363783020770314,1.0,33.32,1638.0,29000.0,22.0,,0.0,14.0,22000.0,49590.0,22.0,137.0,0
36.0,680.0,0.09523809523809523,3.0,6.02,4850.0,36700.0,5.0,2.0,1.0,7.0,20000.0,210000.0,5.0,131.0,1
